t, Cuff Pressure, Target Pressure
0.001 , 0.18 , 150
0.002 , 0.41 , 150
0.003 , 0.43 , 150
0.004 , 0.48 , 150
0.005 , 0.41 , 150
0.006 , 0.41 , 150
0.007 , 0.39 , 150
0.008000001 , 0.39 , 150
0.009 , 0.34 , 150
0.01 , 0.57 , 150
0.011 , 5.04 , 150
0.012 , 5.65 , 150
0.012 , 5.91 , 150
0.013 , 2.47 , 150
0.014 , 0.27 , 150
0.015 , -0.5 , 150
0.016 , -0.3 , 150
0.016 , 0.78 , 150
0.017 , 4.46 , 150
0.018 , 4.12 , 150
0.019 , 4.53 , 150
0.02 , 4.51 , 150
0.021 , 2.63 , 150
0.021 , 0.0 , 150
0.022 , -2.52 , 150
0.023 , -0.98 , 150
0.024 , 11.22 , 150
0.025 , 6.84 , 150
0.026 , 6.02 , 150
0.026 , 3.07 , 150
0.027 , -2.2 , 150
0.028 , -0.39 , 150
0.029 , 3.39 , 150
0.03 , 7.76 , 150
0.031 , 8.74 , 150
0.032 , 3.07 , 150
0.033 , -2.7 , 150
0.033 , -1.65 , 150
0.034 , 13.64 , 150
0.035 , 13.28 , 150
0.036 , 7.8 , 150
0.037 , 1.76 , 150
0.038 , -1.3 , 150
0.039 , 5.52 , 150
0.039 , 10.87 , 150
0.04 , 9.38 , 150
0.041 , 1.35 , 150
0.042 , -0.8 , 150
0.043 , 8.4 , 150
0.044 , 8.56 , 150
0.044 , 8.38 , 150
0.045 , 1.83 , 150
0.046 , 1.69 , 150
0.047 , 4.19 , 150
0.048 , 9.93 , 150
0.049 , 8.45 , 150
0.05 , -0.43 , 150
0.05 , 6.43 , 150
0.051 , 11.15 , 150
0.052 , 15.15 , 150
0.053 , 1.79 , 150
0.054 , 0.18 , 150
0.055 , 6.25 , 150
0.055 , 14.17 , 150
0.056 , 9.68 , 150
0.057 , -1.6 , 150
0.058 , 0.34 , 150
0.05900001 , 13.73 , 150
0.06 , 11.67 , 150
0.061 , -1.37 , 150
0.061 , 2.11 , 150
0.062 , 10.69 , 150
0.063 , 14.85 , 150
0.06400001 , 6.43 , 150
0.065 , -2.56 , 150
0.06599999 , 6.09 , 150
0.06599999 , 13.5 , 150
0.067 , 3.78 , 150
0.06800001 , -2.93 , 150
0.069 , 6.5 , 150
0.07 , 18.36 , 150
0.071 , 12.11 , 150
0.071 , -3.02 , 150
0.072 , -1.12 , 150
0.073 , 16.98 , 150
0.074 , 19.66 , 150
0.075 , 3.14 , 150
0.076 , -1.72 , 150
0.076 , 13.18 , 150
0.077 , 17.37 , 150
0.078 , 1.56 , 150
0.079 , -1.12 , 150
0.08 , 18.04 , 150
0.081 , 19.8 , 150
0.08200001 , 5.91 , 150
0.08200001 , -1.76 , 150
0.083 , 11.81 , 150
0.084 , 16.59 , 150
0.085 , 10.96 , 150
0.086 , -1.72 , 150
0.087 , 0.71 , 150
0.088 , 19.04 , 150
0.088 , 17.69 , 150
0.089 , -0.89 , 150
0.09 , 12.41 , 150
0.09099999 , 16.69 , 150
0.092 , 11.58 , 150
0.093 , -0.9599999 , 150
0.094 , 17.56 , 150
0.095 , 19.41 , 150
0.095 , 7.87 , 150
0.096 , -0.23 , 150
0.09700001 , 13.57 , 150
0.09799999 , 17.74 , 150
0.099 , 4.92 , 150
0.1 , 0.21 , 150
0.1 , 3.62 , 150
0.101 , 14.33 , 150
0.102 , 16.55 , 150
0.103 , 2.24 , 150
0.103 , 0.41 , 150
0.104 , 14.56 , 150
0.105 , 19.43 , 150
0.105 , 18.31 , 150
0.106 , 4.28 , 150
0.107 , 0.55 , 150
0.107 , 7.99 , 150
0.108 , 15.24 , 150
0.109 , 14.76 , 150
0.109 , 5.68 , 150
0.11 , 1.35 , 150
0.111 , 14.01 , 150
0.111 , 13.57 , 150
0.112 , 16.39 , 150
0.113 , 8.83 , 150
0.113 , 0.43 , 150
