t, Cuff Pressure, Target Pressure
10.003 , 152.09 , 150
10.004 , 152.05 , 150
10.005 , 152.05 , 150
10.006 , 152.05 , 150
10.006 , 152.05 , 150
10.007 , 152.03 , 150
10.008 , 152.05 , 150
10.009 , 152.05 , 150
10.01 , 152.05 , 150
10.011 , 152.05 , 150
10.011 , 152.05 , 150
10.012 , 152.03 , 150
10.013 , 152.03 , 150
10.014 , 152.0 , 150
10.015 , 152.0 , 150
10.016 , 152.03 , 150
10.017 , 152.0 , 150
10.017 , 152.03 , 150
10.018 , 152.0 , 150
10.019 , 152.0 , 150
10.02 , 152.0 , 150
10.021 , 152.0 , 150
10.022 , 152.0 , 150
10.022 , 152.0 , 150
10.023 , 152.0 , 150
10.024 , 152.05 , 150
10.025 , 151.96 , 150
10.026 , 152.0 , 150
10.026 , 152.0 , 150
10.027 , 152.0 , 150
10.028 , 152.03 , 150
10.029 , 152.0 , 150
10.03 , 152.0 , 150
10.031 , 151.96 , 150
10.031 , 152.0 , 150
10.032 , 151.96 , 150
10.033 , 151.96 , 150
10.034 , 151.96 , 150
10.035 , 151.96 , 150
10.036 , 151.96 , 150
10.037 , 151.96 , 150
10.037 , 151.93 , 150
10.038 , 151.96 , 150
10.039 , 151.96 , 150
10.04 , 151.93 , 150
10.041 , 152.0 , 150
10.042 , 151.93 , 150
10.043 , 151.96 , 150
10.043 , 151.96 , 150
10.044 , 151.93 , 150
10.045 , 152.0 , 150
10.046 , 151.93 , 150
10.047 , 151.93 , 150
10.048 , 151.93 , 150
10.049 , 151.93 , 150
10.05 , 151.89 , 150
10.05 , 151.93 , 150
10.051 , 151.93 , 150
10.052 , 151.89 , 150
10.053 , 151.93 , 150
10.054 , 151.93 , 150
10.055 , 151.93 , 150
10.056 , 151.93 , 150
10.057 , 151.93 , 150
10.057 , 151.89 , 150
10.058 , 151.93 , 150
10.059 , 151.89 , 150
10.06 , 151.89 , 150
10.061 , 151.87 , 150
10.062 , 151.89 , 150
10.063 , 151.87 , 150
10.064 , 151.89 , 150
