t,pwm=15000
0.0,178.395
0.004,178.4625
0.008000001,178.23
0.012,178.185
0.016,178.005
0.02,177.7725
0.131,174.2025
0.135,174.0675
0.139,173.955
0.143,173.79
0.147,173.655
0.152,173.5875
0.156,173.43
0.16,173.3325
0.164,173.1525
0.169,173.04
0.173,172.875
0.285,169.3725
0.289,169.26
0.294,169.125
0.299,168.96
0.304,168.78
0.308,168.6675
0.404,165.8025
0.409,165.7125
0.414,165.555
0.419,165.3225
0.423,165.2325
0.428,165.0975
0.526,162.3
0.531,162.165
0.536,162.03
0.541,161.8875
0.546,161.775
0.55,161.6175
0.642,159.075
0.647,158.9625
0.709,157.29
0.766,155.805
0.8190001,154.38
0.871,153.105
0.924,151.725
0.976,150.3975
1.03,149.1675
1.182,145.41
1.236,144.1725
1.29,142.9125
1.353,141.45
1.407,140.235
1.459,139.1175
1.514,137.9475
1.566,136.7325
1.619,135.5475
1.67,134.49
1.725,133.35
1.781,132.18
1.84,130.9425
2.002,127.7175
2.058,126.645
2.115,125.565
2.167,124.5375
2.224,123.4575
2.275,122.4525
2.331,121.515
2.386,120.465
2.441,119.4075
2.499,118.3575
2.553,117.4425
2.613,116.4375
2.667,115.4925
2.825,112.7475
2.879,111.855
2.936,110.94
2.994,109.9575
3.05,109.0425
3.108,108.105
3.165,107.3025
3.222,106.4775
3.276,105.585
3.351,104.46
3.407,103.59
3.468,102.675
3.531,101.76
3.687,99.54
3.744,98.79
3.798,98.00999
3.853,97.2525
3.911,96.495
3.966,95.79
4.021,95.055
4.081,94.2525
4.137,93.57
4.195,92.8125
4.257,92.01
4.323,91.2075
4.381,90.4575
4.548,88.485
4.605,87.825
4.658,87.18
4.715,86.52
4.769,85.8975
4.827,85.2825
4.892,84.57
4.946,83.955
5.002,83.265
5.066,82.605
5.125,81.99
5.181,81.3675
5.239,80.7975
5.399,79.1475
5.464,78.4875
5.521,77.9325
5.579,77.2725
5.637,76.815
5.703,76.245
5.76,75.71249
5.822,75.075
5.886,74.5725
5.947,73.995
6.007,73.4475
6.066,72.8325
6.122,72.4425
6.28,71.0925
6.34,70.5675
6.398,70.0425
6.454,69.5775
6.513,69.075
6.569,68.595
6.626,68.1825
6.686,67.6575
6.747,67.29
6.812,66.78751
6.873,66.33
6.944,65.715
7.005,65.28
7.175,64.065
7.234,63.675
7.297,63.2175
7.352,62.8275
7.418,62.415
7.484,61.935
7.543,61.5
7.607,61.11
7.669,60.6975
7.727,60.3375
7.794,59.9025
7.856,59.535
7.918,59.1225
8.082,58.14
8.14,57.795
8.197,57.495
8.259,57.06
8.316,56.7375
8.378,56.3775
8.445,56.01
8.508,55.71
8.569,55.365
8.632,54.9975
8.696,54.6375
8.754,54.3825
8.819,54.0375
8.979,53.265
9.04,52.9425
9.101,52.62
9.172,52.23
9.235,51.9375
9.296,51.66
9.361,51.3375
9.43,51.045
9.493,50.79
9.559,50.4675
9.626,50.175
9.695,49.875
9.76,49.53
9.934,48.75
9.997,48.525
10.061,48.2925
10.13,48.0
10.189,47.7
10.254,47.3775
10.314,47.175
10.375,46.92
10.438,46.695
10.505,46.4175
10.569,46.14
10.633,45.915
10.706,45.615
10.879,45.0225
10.938,44.79
11.003,44.5425
11.063,44.31
11.127,44.085
11.191,43.875
11.254,43.6275
11.318,43.395
11.38,43.17
11.439,43.005
11.503,42.78
11.567,42.5925
11.633,42.3225
11.81,41.745
11.874,41.5875
11.941,41.3625
12.011,41.1075
12.076,40.905
12.137,40.7625
12.203,40.5825
12.27,40.35
12.341,40.1475
12.407,39.96
12.474,39.825
12.541,39.6225
12.606,39.435
12.774,38.9325
12.838,38.7525
12.906,38.61
12.971,38.385
13.033,38.2275
13.096,38.085
13.16,37.95
13.223,37.7175
13.292,37.5375
13.362,37.38
13.435,37.215
13.502,37.0125
13.573,36.825
13.743,36.39
13.819,36.3
13.893,36.0975
