t,Pressure
16.743,0.08480835
16.797,-0.2518158
16.919,-0.8087387
16.971,-1.017349
17.025,-1.151474
17.079,-0.9406128
17.14,0.1421661
17.191,1.760078
17.248,1.868912
17.301,1.251297
17.358,0.4901276
17.414,-0.07203674
17.471,-0.1432037
17.526,-0.3863449
17.586,-0.6795425
17.645,-0.8862228
17.701,-1.148376
17.832,-1.246407
17.89,-0.1215973
17.952,1.759682
18.008,1.887527
18.057,1.098457
18.109,0.297348
18.173,-0.1918945
18.226,-0.3745117
18.28,-0.5761414
18.341,-0.8433609
18.392,-1.100464
18.445,-1.208084
18.496,-1.352676
18.555,-1.304359
18.614,-1.241051
18.751,1.141846
18.808,1.79818
18.861,1.225563
18.919,0.5578842
18.98,0.3131638
19.04,0.01997375
19.107,-0.2263184
19.164,-0.5524826
19.22,-0.8221359
19.283,-0.9848633
19.341,-0.8575439
19.394,0.6098251
19.449,1.994186
19.504,2.073547
19.56,1.466393
19.693,-0.2221603
19.75,-0.5258255
19.806,-0.4879837
19.869,-0.7482147
19.93,-0.9704285
19.992,-1.144165
20.051,-1.193344
20.108,-1.10701
20.171,1.077744
20.226,2.349609
20.284,1.404434
20.344,0.5412292
20.403,0.2670441
20.464,0.04482269
20.523,-0.2068634
20.653,-0.7433777
20.716,-0.9811172
20.773,-1.09729
20.831,-0.9699707
20.889,0.05735779
20.95,1.897652
21.009,1.390953
21.071,0.9922256
21.132,0.4475174
21.192,0.04180908
21.253,-0.06789398
21.311,-0.2330704
21.37,-0.4847565
21.445,-0.7481384
21.502,-0.9393082
21.637,-0.03338623
21.701,1.997368
21.755,1.248238
21.813,0.4680557
21.869,0.1609039
21.927,-0.07177734
21.989,-0.245491
22.05,-0.4002075
22.108,-0.5653915
22.165,-0.6815491
22.228,-0.8967896
22.29,-1.025513
22.352,-0.8542404
22.42,1.212975
22.486,0.9856949
22.615,0.5881805
22.683,0.2028961
22.741,0.04521179
22.799,-0.07496643
22.86,-0.2071686
22.921,-0.4068909
22.98,-0.5235825
23.044,-0.6828232
23.115,-0.4351578
23.173,1.687164
23.232,1.135475
23.3,0.6901779
23.363,0.6099472
23.425,0.2562103
23.483,0.02353668
23.62,-0.2785568
23.691,-0.4883881
23.752,-0.5531006
23.816,-0.5773468
23.878,0.3439331
23.946,0.9486237
24.006,0.7229309
24.066,0.6622314
24.13,0.3529663
24.193,0.04774475
24.26,-0.0635376
24.329,-0.1378403
24.389,-0.296051
24.448,-0.4577408
24.512,-0.5344849
24.645,0.7319565
24.706,0.6447449
24.766,0.4490509
24.828,0.3653183
24.896,0.1450272
24.958,-0.02870178
25.039,-0.2036438
25.106,-0.269928
25.184,-0.3878403
25.248,-0.5245895
25.315,-0.455864
25.383,0.4038315
25.452,0.5695267
25.515,0.5417862
25.578,0.2590485
25.715,0.04695892
25.782,-0.04183197
25.845,-0.1370697
25.915,-0.2603836
25.984,-0.3196869
26.046,-0.4259186
26.111,-0.311676
26.174,0.1180878
26.239,0.6598358
26.308,0.6080246
26.377,0.4587173
26.448,0.316391
26.513,0.1531296
26.591,-0.05478668
26.659,-0.1850739
26.804,-0.3617706
26.874,0.4749069
26.945,0.5650711
27.018,0.4522247
27.083,0.31147
27.155,0.1501312
27.231,-0.04225922
27.299,-0.2175674
27.37,-0.314888
27.441,-0.4122162
27.505,-0.4364738
27.584,-0.3933907
27.654,1.020782
27.725,0.4884644
27.797,-0.08538055
27.938,-0.2085266
28.001,-0.1462631
28.067,-0.2835388
28.131,-0.292778
28.202,-0.4126129
28.278,-0.4175034
28.35,-0.3538437
28.415,0.3303986
28.485,0.5520859
28.557,0.4882355
28.623,0.2609634
28.693,0.2051544
28.76,0.1163635
28.829,-0.03293991
28.898,-0.08473969
29.048,-0.2290001
29.116,-0.1042938
29.184,0.6354065
29.257,0.6125526
29.327,0.3542404
29.392,0.145977
29.466,0.08911133
29.543,0.1027145
29.615,-0.01362991
29.689,-0.2579956
29.765,-0.2403831
29.836,-0.2027092
29.903,1.081001
29.978,0.5251312
30.044,-0.2121353
30.196,-0.3419189
30.263,-0.3181992
30.331,-0.3059998
30.398,-0.3947716
30.472,-0.459137
30.543,-0.4589767
30.613,-0.3272896
30.693,0.3642807
30.771,0.4263611
30.839,0.461071
30.911,0.3672256
30.983,0.09338379
31.054,0.04105759
31.123,-0.0407486
31.194,-0.06307983
31.379,0.807251
31.426,0.5812073
31.48,0.08707428
31.534,0.1329498
31.585,0.1533432
31.645,-0.5298538
31.695,0.01206207
31.751,0.1174088
31.806,0.07675934
31.856,-0.1838112
31.905,0.1971092
31.958,-0.2180099
32.012,-0.1196404
32.069,-0.1458092
32.123,0.06506729
32.252,0.4400482
32.306,0.2909203
32.361,0.1377754
32.414,0.1351662
32.468,0.09852219
32.521,0.005912781
32.575,-0.008220673
32.625,0.03119659
32.676,-0.06840897
32.729,-0.161026
32.78,-0.1856232
32.836,-0.1252823
32.887,0.6226387
32.943,0.4054794
33.001,0.082798
33.132,-0.08273315
33.192,0.0140686
33.243,0.01197433
33.309,-0.03530884
33.369,-0.006004333
33.427,0.008811951
33.481,-0.2603188
33.539,-0.2829857
33.592,-0.07561111
33.646,0.8402596
33.699,0.2976494
33.751,-0.2334709
33.815,-0.07771683
33.867,0.1261787
33.921,0.01454926
34.05,-0.08296204
34.102,-0.1040649
34.156,-0.1032028
34.222,-0.1429749
34.274,-0.149086
34.326,-0.1026878
34.379,0.764698
34.431,0.3085861
34.488,-0.1375847
34.544,0.03525925
34.597,0.08514786
34.651,-0.0939827
34.702,-0.07357788
34.755,-0.001194
34.809,0.04465866
34.937,-0.03382492
34.993,-0.08597946
35.046,-0.1335983
35.104,-0.06628418
35.167,0.4459839
35.223,0.4163246
35.282,0.1871452
35.338,0.1499863
35.396,0.03730392
35.456,0.01410675
35.507,-0.01049042
35.563,-0.0026474
35.62,-0.09631729
35.675,-0.11446
35.733,-0.09212875
35.867,-0.0596962
35.925,0.1876259
35.988,0.2723808
36.044,0.1902237
36.1,0.108078
36.159,0.08889771
36.217,0.05871201
36.279,-0.01751709
36.338,0.04579926
36.4,0.05957794
36.455,0.06393433
36.512,-0.07472992
36.574,-0.04595757
36.635,0.766819
36.692,0.2756615
36.82,-0.5378342
36.881,-0.4375496
36.935,-0.1366806
36.993,-0.1593666
