t,Pressure_Front,Pressure_Back
11.816,133.395,118.17
11.86,133.26,118.08
11.907,134.0325,118.0125
11.957,133.395,117.855
12.009,133.215,117.69
12.059,133.0725,117.51
12.163,132.705,117.165
12.208,132.525,117.0525
12.262,132.3675,116.985
12.31,132.2025,116.94
12.358,132.0675,116.82
12.409,131.88,116.685
12.472,131.7225,116.46
12.524,131.5425,116.2725
12.576,131.31,116.07
12.622,131.2425,116.0475
12.674,131.91,115.905
12.723,131.5425,115.7475
12.771,131.355,115.635
12.824,131.1975,115.5675
12.88,130.92,115.4025
12.934,130.785,115.2675
13.046,130.3725,114.945
13.093,130.17,114.765
13.15,129.9825,114.6
13.198,129.7575,114.555
13.248,129.615,114.4425
13.302,129.435,114.3525
13.355,129.3,114.1875
13.41,130.1475,113.9625
13.472,129.5925,113.7525
13.523,129.3675,113.64
13.578,129.2775,113.5725
13.629,129.0675,113.4375
13.681,128.82,113.295
13.74,128.5875,113.115
13.799,128.3325,112.89
13.854,128.175,112.7925
13.968,127.7175,112.59
14.025,127.5375,112.455
14.082,127.26,112.29
14.132,127.17,112.065
14.184,128.475,111.945
14.241,127.695,111.7875
14.298,127.3275,111.6525
14.352,127.26,111.51
14.406,126.915,111.4425
14.459,126.7125,111.2175
14.508,126.5475,111.1275
14.561,126.39,110.985
14.618,126.1125,110.76
14.676,125.82,110.5725
14.733,125.61,110.5275
14.787,125.4075,110.4375
14.897,125.1525,110.16
14.95,125.6775,109.935
15.003,125.73,109.8
15.055,125.52,109.635
15.111,125.1975,109.455
15.168,125.0175,109.455
15.225,124.8075,109.3125
15.284,124.5375,109.0425
15.334,124.38,108.81
15.388,124.1475,108.765
15.445,123.825,108.72
15.501,123.555,108.5625
15.561,123.39,108.33
15.621,123.2775,108.1725
15.678,124.08,108.0375
15.74,123.945,107.94
15.851,123.48,107.625
15.904,123.2325,107.46
15.961,122.9325,107.3025
16.017,122.685,107.07
16.074,122.4525,106.935
16.133,122.1825,106.845
16.195,121.8825,106.71
16.259,121.5825,106.5675
16.318,121.335,106.41
16.377,121.29,106.2225
16.435,122.52,106.0875
16.493,122.1075,105.885
16.557,121.7475,105.63
16.624,121.5825,105.54
16.69,121.0575,105.45
16.748,120.855,105.3075
16.863,120.165,105.06
16.92,119.8875,104.7825
16.978,119.685,104.6025
17.037,119.4525,104.4375
17.098,119.34,104.325
17.16,120.0525,104.2125
17.224,119.775,103.98
17.286,119.9325,103.89
17.343,119.82,103.755
17.4,119.4525,103.545
17.46,119.115,103.3425
17.52,118.7925,103.185
17.584,118.425,103.0425
17.645,118.08,102.9525
17.707,117.765,102.795
17.767,117.465,102.6525
17.884,117.1425,102.1725
17.945,118.815,101.9925
18.003,118.245,101.9475
18.061,117.945,101.76
