t,o,f
0.8389999 , -0.14 , -0.14
0.84 , -0.14 , -0.14
0.841 , -0.16 , -0.15
0.841 , -0.16 , -0.15
0.842 , -0.16 , -0.15
0.843 , -0.16 , -0.15
0.844 , -0.14 , -0.15
0.8450001 , -0.16 , -0.15
0.8450001 , -0.16 , -0.15
0.846 , -0.16 , -0.15
0.847 , -0.16 , -0.15
0.848 , -0.16 , -0.15
0.849 , -0.14 , -0.15
0.849 , -0.14 , -0.15
0.85 , -0.16 , -0.15
0.851 , -0.14 , -0.15
0.852 , -0.16 , -0.15
0.853 , -0.14 , -0.15
0.854 , -0.16 , -0.15
0.854 , -0.16 , -0.15
0.855 , -0.16 , -0.15
0.856 , -0.16 , -0.15
0.857 , -0.16 , -0.15
0.858 , -0.16 , -0.15
0.859 , -0.16 , -0.15
0.859 , -0.16 , -0.15
0.86 , -0.16 , -0.15
0.861 , -0.16 , -0.15
0.862 , -0.16 , -0.15
0.863 , -0.16 , -0.15
0.863 , -0.16 , -0.15
0.864 , -0.16 , -0.15
0.865 , -0.14 , -0.15
0.866 , -0.16 , -0.15
0.867 , -0.14 , -0.15
0.867 , -0.14 , -0.15
0.8679999 , -0.16 , -0.15
0.8690001 , -0.21 , -0.17
0.87 , -0.16 , -0.17
0.871 , -0.14 , -0.16
0.8719999 , -0.14 , -0.15
0.8719999 , -0.16 , -0.15
0.873 , -0.09 , -0.13
0.874 , -0.14 , -0.13
0.875 , -0.16 , -0.14
0.876 , -0.16 , -0.15
0.877 , -0.14 , -0.15
0.8780001 , -0.16 , -0.15
0.8780001 , -0.16 , -0.15
0.879 , -0.16 , -0.15
0.88 , -0.16 , -0.15
0.8809999 , -0.21 , -0.17
0.8820001 , -0.16 , -0.17
0.883 , -0.16 , -0.17
0.883 , -0.16 , -0.17
0.884 , -0.16 , -0.17
0.885 , -0.14 , -0.16
0.886 , -0.16 , -0.16
0.887 , -0.16 , -0.16
0.888 , -0.16 , -0.16
0.889 , -0.16 , -0.16
0.89 , -0.16 , -0.16
0.89 , -0.16 , -0.16
0.891 , -0.16 , -0.16
0.892 , -0.16 , -0.16
0.893 , -0.16 , -0.16
0.894 , -0.14 , -0.15
0.895 , -0.14 , -0.15
0.896 , -0.16 , -0.15
0.897 , -0.16 , -0.15
0.897 , -0.14 , -0.15
0.898 , -0.16 , -0.15
0.899 , -0.14 , -0.15
0.9 , -0.16 , -0.15
0.901 , -0.16 , -0.15
0.901 , -0.14 , -0.15
0.902 , -0.21 , -0.17
0.903 , -0.16 , -0.17
0.904 , -0.16 , -0.17
0.9049999 , -0.21 , -0.19
0.9049999 , -0.16 , -0.18
0.906 , -0.16 , -0.17
0.907 , -0.16 , -0.17
0.908 , -0.16 , -0.17
0.909 , -0.16 , -0.17
0.91 , -0.16 , -0.17
0.91 , -0.21 , -0.19
0.9110001 , -0.16 , -0.18
0.912 , -0.14 , -0.16
0.913 , -0.14 , -0.15
0.9139999 , -0.16 , -0.15
0.9139999 , -0.16 , -0.15
0.9150001 , -0.16 , -0.15
0.916 , -0.16 , -0.15
0.917 , -0.14 , -0.15
0.918 , -0.16 , -0.15
0.918 , -0.14 , -0.15
0.9190001 , -0.21 , -0.17
0.92 , -0.14 , -0.16
0.921 , -0.16 , -0.16
0.922 , -0.16 , -0.16
0.923 , -0.16 , -0.16
0.924 , -0.16 , -0.16
0.924 , -0.16 , -0.16
0.925 , -0.14 , -0.15
0.926 , -0.14 , -0.15
0.927 , -0.16 , -0.15
0.928 , -0.14 , -0.15
0.929 , -0.16 , -0.15
0.929 , -0.14 , -0.15
0.93 , -0.14 , -0.15
0.9309999 , -0.16 , -0.15
0.932 , -0.16 , -0.15
0.933 , -0.16 , -0.15
0.934 , -0.16 , -0.15
0.934 , -0.14 , -0.15
0.935 , -0.14 , -0.15
0.936 , -0.16 , -0.15
0.937 , -0.16 , -0.15
0.938 , -0.14 , -0.15
0.938 , -0.14 , -0.15
0.939 , -0.14 , -0.15
0.94 , -0.14 , -0.15
0.941 , -0.14 , -0.15
0.942 , -0.09 , -0.13
0.943 , -0.07 , -0.11
0.943 , -0.14 , -0.12
0.9440001 , -0.09 , -0.11
0.945 , -0.09 , -0.1
0.946 , -0.09 , -0.1
0.947 , -0.14 , -0.12
0.948 , -0.14 , -0.13
0.949 , -0.14 , -0.13
0.95 , -0.14 , -0.13
0.951 , -0.14 , -0.13
0.951 , -0.14 , -0.13
0.952 , -0.09 , -0.11
0.953 , -0.14 , -0.12
0.954 , -0.16 , -0.14
0.955 , -0.09 , -0.12
0.9559999 , -0.14 , -0.13
0.957 , -0.09 , -0.11
0.958 , -0.14 , -0.12
0.959 , -0.09 , -0.11
0.9599999 , -0.14 , -0.12
0.9610001 , -0.14 , -0.13
0.9610001 , -0.14 , -0.13
0.962 , -0.14 , -0.13
0.963 , -0.14 , -0.13
0.9639999 , -0.14 , -0.13
0.965 , -0.09 , -0.11
0.966 , -0.14 , -0.12
0.967 , -0.14 , -0.13
0.968 , -0.14 , -0.13
0.969 , -0.14 , -0.13
0.9700001 , -0.16 , -0.14
0.9700001 , -0.14 , -0.14
0.971 , -0.14 , -0.14
0.972 , -0.14 , -0.14
0.973 , -0.14 , -0.14
0.974 , -0.14 , -0.14
0.975 , -0.14 , -0.14
0.976 , -0.09 , -0.12
0.977 , -0.14 , -0.13
0.978 , -0.09 , -0.11
0.978 , -0.14 , -0.12
0.979 , -0.14 , -0.13
0.98 , -0.14 , -0.13
0.981 , -0.07 , -0.11
0.982 , -0.14 , -0.12
0.983 , -0.14 , -0.13
0.984 , -0.16 , -0.14
0.985 , -0.14 , -0.14
0.986 , -0.09 , -0.12
0.987 , -0.14 , -0.13
0.988 , -0.14 , -0.13
0.989 , -0.09 , -0.11
0.989 , -0.14 , -0.12
0.99 , -0.14 , -0.13
0.991 , -0.09 , -0.11
0.992 , -0.09 , -0.1
0.9929999 , -0.14 , -0.12
0.9940001 , -0.14 , -0.13
0.995 , -0.14 , -0.13
0.996 , -0.09 , -0.11
0.9969999 , -0.14 , -0.12
0.998 , -0.09 , -0.11
0.998 , -0.14 , -0.12
0.999 , -0.09 , -0.11
1.0 , -0.09 , -0.1
1.001 , -0.14 , -0.12
1.002 , -0.14 , -0.13
1.003 , -0.16 , -0.14
1.004 , -0.14 , -0.14
1.005 , -0.09 , -0.12
1.006 , -0.09 , -0.11
1.007 , -0.14 , -0.12
1.007 , -0.14 , -0.13
1.008 , -0.14 , -0.13
1.009 , -0.14 , -0.13
1.01 , -0.14 , -0.13
1.011 , -0.14 , -0.13
1.012 , -0.14 , -0.13
1.013 , -0.14 , -0.13
1.014 , -0.16 , -0.14
1.014 , -0.14 , -0.14
1.015 , -0.14 , -0.14
1.016 , -0.09 , -0.12
1.017 , -0.14 , -0.13
1.018 , -0.09 , -0.11
1.019 , -0.14 , -0.12
1.02 , -0.14 , -0.13
1.021 , -0.09 , -0.11
1.022 , -0.14 , -0.12
1.022 , -0.14 , -0.13
1.023 , -0.14 , -0.13
1.024 , -0.14 , -0.13
1.025 , -0.14 , -0.13
1.026 , -0.14 , -0.13
1.027 , -0.14 , -0.13
1.028 , -0.14 , -0.13
1.029 , -0.09 , -0.11
1.03 , -0.14 , -0.12
1.03 , -0.14 , -0.13
1.031 , -0.14 , -0.13
1.032 , -0.14 , -0.13
1.033 , -0.14 , -0.13
1.034 , -0.14 , -0.13
1.035 , -0.14 , -0.13
1.036 , -0.14 , -0.13
1.037 , -0.14 , -0.13
1.037 , -0.14 , -0.13
1.038 , -0.14 , -0.13
1.039 , -0.16 , -0.14
1.04 , -0.09 , -0.12
1.041 , -0.14 , -0.13
1.042 , -0.14 , -0.13
1.043 , -0.09 , -0.11
1.044 , -0.16 , -0.13
1.045 , -0.14 , -0.13
1.046 , -0.14 , -0.13
1.046 , -0.09 , -0.11
1.047 , -0.09 , -0.1
1.048 , -0.14 , -0.12
1.049 , -0.14 , -0.13
1.05 , -0.14 , -0.13
1.051 , -0.14 , -0.13
1.052 , -0.14 , -0.13
1.053 , -0.14 , -0.13
1.053 , -0.09 , -0.11
1.054 , -0.14 , -0.12
1.055 , -0.09 , -0.11
1.056 , -0.09 , -0.1
1.057 , -0.14 , -0.12
1.058 , -0.14 , -0.13
1.059 , -0.16 , -0.14
1.06 , -0.14 , -0.14
1.061 , -0.14 , -0.14
1.062 , -0.16 , -0.15
1.062 , -0.16 , -0.15
1.063 , -0.14 , -0.15
1.064 , -0.14 , -0.15
1.065 , -0.09 , -0.13
1.066 , -0.09 , -0.11
1.067 , -0.14 , -0.12
1.068 , -0.14 , -0.13
1.068 , -0.16 , -0.14
1.069 , -0.14 , -0.14
1.07 , -0.09 , -0.12
1.071 , -0.14 , -0.13
1.072 , -0.09 , -0.11
1.073 , -0.14 , -0.12
1.074 , -0.14 , -0.13
1.075 , -0.14 , -0.13
1.076 , -0.09 , -0.11
1.076 , -0.16 , -0.13
1.077 , -0.14 , -0.13
1.078 , -0.14 , -0.13
1.079 , -0.09 , -0.11
1.08 , -0.14 , -0.12
1.081 , -0.09 , -0.11
1.082 , -0.09 , -0.1
1.083 , -0.14 , -0.12
1.084 , -0.09 , -0.11
1.085 , -0.14 , -0.12
1.085 , -0.14 , -0.13
1.086 , -0.14 , -0.13
1.087 , -0.14 , -0.13
1.088 , -0.09 , -0.11
1.089 , -0.16 , -0.13
1.09 , -0.14 , -0.13
1.091 , -0.14 , -0.13
1.092 , -0.14 , -0.13
1.093 , -0.14 , -0.13
1.093 , -0.14 , -0.13
1.094 , -0.16 , -0.14
1.095 , -0.14 , -0.14
1.096 , -0.14 , -0.14
1.097 , -0.16 , -0.15
1.098 , -0.09 , -0.13
1.099 , -0.14 , -0.13
1.1 , -0.14 , -0.13
1.1 , -0.14 , -0.13
1.101 , -0.14 , -0.13
1.102 , -0.09 , -0.11
1.103 , -0.14 , -0.12
1.104 , -0.14 , -0.13
1.105 , -0.09 , -0.11
1.106 , -0.14 , -0.12
1.107 , -0.16 , -0.14
1.108 , -0.09 , -0.12
1.109 , -0.14 , -0.13
1.109 , -0.09 , -0.11
1.11 , -0.14 , -0.12
1.111 , -0.14 , -0.13
1.112 , -0.14 , -0.13
1.113 , -0.14 , -0.13
1.114 , -0.14 , -0.13
1.115 , -0.09 , -0.11
1.116 , -0.14 , -0.12
1.116 , -0.14 , -0.13
1.117 , -0.09 , -0.11
1.118 , -0.14 , -0.12
1.119 , -0.14 , -0.13
1.12 , -0.16 , -0.14
1.121 , -0.09 , -0.12
1.122 , -0.09 , -0.11
1.123 , -0.09 , -0.1
1.124 , -0.09 , -0.1
1.125 , -0.14 , -0.12
1.125 , -0.16 , -0.14
1.126 , -0.14 , -0.14
1.127 , -0.14 , -0.14
1.128 , -0.14 , -0.14
1.129 , -0.09 , -0.12
1.13 , -0.14 , -0.13
1.131 , -0.14 , -0.13
1.132 , -0.14 , -0.13
1.133 , -0.14 , -0.13
1.133 , -0.14 , -0.13
1.134 , -0.14 , -0.13
1.135 , -0.09 , -0.11
1.136 , -0.14 , -0.12
1.137 , -0.14 , -0.13
1.138 , -0.14 , -0.13
1.139 , -0.14 , -0.13
1.14 , -0.09 , -0.11
1.141 , -0.14 , -0.12
1.141 , -0.09 , -0.11
1.142 , -0.14 , -0.12
1.143 , -0.14 , -0.13
1.144 , -0.09 , -0.11
1.145 , -0.14 , -0.12
1.146 , -0.09 , -0.11
1.147 , -0.14 , -0.12
1.148 , -0.14 , -0.13
1.149 , -0.16 , -0.14
1.149 , -0.14 , -0.14
1.15 , -0.14 , -0.14
1.151 , -0.14 , -0.14
1.152 , -0.14 , -0.14
1.153 , -0.14 , -0.14
1.154 , -0.14 , -0.14
1.155 , -0.14 , -0.14
1.156 , -0.14 , -0.14
1.156 , -0.14 , -0.14
1.157 , -0.14 , -0.14
1.158 , -0.09 , -0.12
1.159 , -0.14 , -0.13
1.16 , -0.14 , -0.13
1.161 , -0.14 , -0.13
1.162 , -0.14 , -0.13
1.163 , -0.14 , -0.13
1.164 , -0.09 , -0.11
1.165 , -0.16 , -0.13
1.166 , -0.09 , -0.11
1.166 , -0.14 , -0.12
1.167 , -0.09 , -0.11
1.168 , -0.09 , -0.1
1.169 , -0.14 , -0.12
1.17 , -0.14 , -0.13
1.171 , -0.14 , -0.13
1.172 , -0.14 , -0.13
1.173 , -0.16 , -0.14
1.174 , -0.14 , -0.14
1.174 , -0.14 , -0.14
1.175 , -0.14 , -0.14
1.176 , -0.09 , -0.12
1.177 , -0.16 , -0.14
1.178 , -0.09 , -0.12
1.179 , -0.14 , -0.13
1.18 , -0.14 , -0.13
1.181 , -0.16 , -0.14
1.182 , -0.09 , -0.12
1.183 , -0.14 , -0.13
1.184 , -0.09 , -0.11
1.184 , -0.09 , -0.1
1.185 , -0.14 , -0.12
1.186 , -0.09 , -0.11
1.187 , -0.09 , -0.1
1.188 , -0.14 , -0.12
1.189 , -0.09 , -0.11
1.19 , -0.09 , -0.1
1.191 , -0.14 , -0.12
1.192 , -0.09 , -0.11
1.193 , -0.14 , -0.12
1.194 , -0.14 , -0.13
1.194 , -0.14 , -0.13
1.195 , -0.14 , -0.13
1.196 , -0.16 , -0.14
1.197 , -0.14 , -0.14
1.198 , -0.09 , -0.12
1.199 , -0.14 , -0.13
1.2 , -0.14 , -0.13
1.201 , -0.09 , -0.11
1.202 , -0.14 , -0.12
1.202 , -0.14 , -0.13
1.203 , -0.09 , -0.11
1.204 , -0.09 , -0.1
1.205 , -0.14 , -0.12
1.206 , -0.14 , -0.13
1.207 , -0.09 , -0.11
1.208 , -0.14 , -0.12
1.209 , -0.14 , -0.13
1.21 , -0.14 , -0.13
1.211 , -0.14 , -0.13
1.211 , -0.14 , -0.13
1.212 , -0.09 , -0.11
1.213 , -0.09 , -0.1
1.214 , -0.09 , -0.1
1.215 , -0.14 , -0.12
1.216 , -0.14 , -0.13
1.217 , -0.16 , -0.14
1.218 , -0.14 , -0.14
1.218 , -0.09 , -0.12
1.219 , -0.09 , -0.11
1.22 , -0.14 , -0.12
1.221 , -0.14 , -0.13
1.222 , -0.09 , -0.11
1.223 , -0.14 , -0.12
1.224 , -0.09 , -0.11
1.225 , -0.14 , -0.12
1.226 , -0.09 , -0.11
1.226 , -0.09 , -0.1
1.227 , -0.09 , -0.1
1.228 , -0.09 , -0.1
1.229 , -0.09 , -0.1
1.23 , -0.09 , -0.1
1.231 , -0.14 , -0.12
1.232 , -0.09 , -0.11
1.233 , -0.14 , -0.12
1.234 , -0.09 , -0.11
1.235 , -0.14 , -0.12
1.235 , -0.09 , -0.11
1.236 , -0.14 , -0.12
1.237 , -0.09 , -0.11
1.238 , -0.14 , -0.12
1.239 , -0.14 , -0.13
1.24 , -0.09 , -0.11
1.241 , -0.14 , -0.12
1.242 , -0.14 , -0.13
1.243 , -0.14 , -0.13
1.243 , -0.14 , -0.13
1.244 , -0.14 , -0.13
1.245 , -0.14 , -0.13
1.246 , -0.16 , -0.14
1.247 , -0.14 , -0.14
1.248 , -0.14 , -0.14
1.249 , -0.14 , -0.14
1.25 , -0.14 , -0.14
1.251 , -0.14 , -0.14
1.251 , -0.09 , -0.12
1.252 , -0.14 , -0.13
1.253 , -0.16 , -0.14
1.254 , -0.14 , -0.14
1.255 , -0.14 , -0.14
1.256 , -0.14 , -0.14
1.257 , -0.14 , -0.14
1.258 , -0.14 , -0.14
1.258 , -0.14 , -0.14
1.259 , -0.09 , -0.12
1.26 , -0.14 , -0.13
1.261 , -0.14 , -0.13
1.262 , -0.14 , -0.13
1.263 , -0.14 , -0.13
1.264 , -0.14 , -0.13
1.265 , -0.14 , -0.13
1.266 , -0.14 , -0.13
1.267 , -0.14 , -0.13
1.267 , -0.09 , -0.11
1.268 , -0.09 , -0.1
1.269 , -0.14 , -0.12
1.27 , -0.09 , -0.11
1.271 , -0.16 , -0.13
1.272 , -0.14 , -0.13
1.273 , -0.14 , -0.13
1.274 , -0.14 , -0.13
1.275 , -0.14 , -0.13
1.276 , -0.14 , -0.13
1.276 , -0.14 , -0.13
1.277 , -0.14 , -0.13
1.278 , -0.09 , -0.11
1.279 , -0.09 , -0.1
1.28 , -0.14 , -0.12
1.281 , -0.14 , -0.13
1.282 , -0.14 , -0.13
1.283 , -0.09 , -0.11
1.284 , -0.14 , -0.12
1.284 , -0.09 , -0.11
1.285 , -0.09 , -0.1
1.286 , -0.14 , -0.12
1.287 , -0.14 , -0.13
1.288 , -0.09 , -0.11
1.289 , -0.14 , -0.12
1.29 , -0.09 , -0.11
1.291 , -0.14 , -0.12
1.292 , -0.09 , -0.11
1.293 , -0.14 , -0.12
1.293 , -0.09 , -0.11
1.294 , -0.14 , -0.12
1.295 , -0.09 , -0.11
1.296 , -0.14 , -0.12
1.297 , -0.14 , -0.13
1.298 , -0.14 , -0.13
1.299 , -0.09 , -0.11
1.3 , -0.14 , -0.12
1.301 , -0.14 , -0.13
1.302 , -0.09 , -0.11
1.302 , -0.14 , -0.12
1.303 , -0.09 , -0.11
1.304 , -0.09 , -0.1
1.305 , -0.14 , -0.12
1.306 , -0.09 , -0.11
1.307 , -0.14 , -0.12
1.308 , -0.09 , -0.11
1.309 , -0.09 , -0.1
1.31 , -0.14 , -0.12
1.311 , -0.14 , -0.13
1.311 , -0.09 , -0.11
1.312 , -0.14 , -0.12
1.313 , -0.14 , -0.13
1.314 , -0.14 , -0.13
1.315 , -0.14 , -0.13
1.316 , -0.14 , -0.13
1.317 , -0.09 , -0.11
1.317 , -0.16 , -0.13
1.318 , -0.14 , -0.13
1.319 , -0.14 , -0.13
1.32 , -0.14 , -0.13
1.321 , -0.14 , -0.13
1.322 , -0.14 , -0.13
1.323 , -0.09 , -0.11
1.324 , -0.14 , -0.12
1.325 , -0.09 , -0.11
1.325 , -0.14 , -0.12
1.326 , -0.14 , -0.13
1.327 , -0.14 , -0.13
1.328 , -0.09 , -0.11
1.329 , -0.09 , -0.1
1.33 , -0.14 , -0.12
1.331 , -0.14 , -0.13
1.332 , -0.09 , -0.11
1.333 , -0.09 , -0.1
1.333 , -0.14 , -0.12
1.334 , -0.14 , -0.13
1.335 , -0.14 , -0.13
1.336 , -0.09 , -0.11
1.337 , -0.14 , -0.12
1.338 , -0.09 , -0.11
1.339 , -0.09 , -0.1
1.34 , -0.14 , -0.12
1.341 , -0.14 , -0.13
1.342 , -0.14 , -0.13
1.342 , -0.14 , -0.13
1.343 , -0.09 , -0.11
1.344 , -0.14 , -0.12
1.345 , -0.14 , -0.13
1.346 , -0.09 , -0.11
1.347 , -0.14 , -0.12
1.348 , -0.14 , -0.13
1.349 , -0.14 , -0.13
1.349 , -0.16 , -0.14
1.35 , -0.14 , -0.14
1.351 , -0.09 , -0.12
1.352 , -0.09 , -0.11
1.353 , -0.14 , -0.12
1.354 , -0.14 , -0.13
1.355 , -0.14 , -0.13
1.356 , -0.14 , -0.13
1.357 , -0.09 , -0.11
1.358 , -0.14 , -0.12
1.358 , -0.14 , -0.13
1.359 , -0.09 , -0.11
1.36 , -0.14 , -0.12
1.361 , -0.14 , -0.13
1.362 , -0.14 , -0.13
1.363 , -0.09 , -0.11
1.364 , -0.14 , -0.12
1.365 , -0.16 , -0.14
1.366 , -0.09 , -0.12
1.367 , -0.14 , -0.13
1.368 , -0.14 , -0.13
1.368 , -0.14 , -0.13
1.369 , -0.16 , -0.14
1.37 , -0.09 , -0.12
1.371 , -0.14 , -0.13
1.372 , -0.14 , -0.13
1.373 , -0.09 , -0.11
1.374 , -0.14 , -0.12
1.375 , -0.14 , -0.13
1.376 , -0.14 , -0.13
1.377 , -0.14 , -0.13
1.377 , -0.09 , -0.11
1.378 , -0.14 , -0.12
1.379 , -0.14 , -0.13
1.38 , -0.14 , -0.13
1.381 , -0.14 , -0.13
1.382 , -0.09 , -0.11
1.383 , -0.16 , -0.13
1.384 , -0.14 , -0.13
1.385 , -0.14 , -0.13
1.386 , -0.09 , -0.11
1.386 , -0.14 , -0.12
1.387 , -0.09 , -0.11
1.388 , -0.14 , -0.12
1.389 , -0.14 , -0.13
1.39 , -0.14 , -0.13
1.391 , -0.09 , -0.11
1.392 , -0.14 , -0.12
1.393 , -0.09 , -0.11
1.394 , -0.16 , -0.13
1.394 , -0.14 , -0.13
1.395 , -0.09 , -0.11
1.396 , -0.09 , -0.1
1.397 , -0.09 , -0.1
1.398 , -0.09 , -0.1
1.399 , -0.14 , -0.12
1.4 , -0.14 , -0.13
1.401 , -0.09 , -0.11
1.402 , -0.14 , -0.12
1.403 , -0.09 , -0.11
1.403 , -0.09 , -0.1
1.404 , -0.14 , -0.12
1.405 , -0.14 , -0.13
1.406 , -0.14 , -0.13
1.407 , -0.14 , -0.13
1.408 , -0.16 , -0.14
1.409 , -0.09 , -0.12
1.41 , -0.14 , -0.13
1.411 , -0.14 , -0.13
1.412 , -0.14 , -0.13
1.412 , -0.14 , -0.13
1.413 , -0.14 , -0.13
1.414 , -0.09 , -0.11
1.415 , -0.14 , -0.12
1.416 , -0.14 , -0.13
1.417 , -0.14 , -0.13
1.418 , -0.14 , -0.13
1.419 , -0.09 , -0.11
1.42 , -0.09 , -0.1
1.42 , -0.14 , -0.12
1.421 , -0.14 , -0.13
1.422 , -0.14 , -0.13
1.423 , -0.09 , -0.11
1.424 , -0.14 , -0.12
1.425 , -0.14 , -0.13
1.426 , -0.16 , -0.14
1.427 , -0.14 , -0.14
1.428 , -0.16 , -0.15
1.428 , -0.14 , -0.15
1.429 , -0.14 , -0.15
1.43 , -0.14 , -0.15
1.431 , -0.09 , -0.13
1.432 , -0.14 , -0.13
1.433 , -0.14 , -0.13
1.434 , -0.07 , -0.11
1.435 , -0.14 , -0.12
1.435 , -0.09 , -0.11
1.436 , -0.14 , -0.12
1.437 , -0.14 , -0.13
1.438 , -0.09 , -0.11
1.439 , -0.14 , -0.12
1.44 , -0.14 , -0.13
1.441 , -0.16 , -0.14
1.442 , -0.14 , -0.14
1.443 , -0.14 , -0.14
1.443 , -0.21 , -0.17
1.444 , -0.16 , -0.17
1.445 , -0.14 , -0.16
1.446 , -0.16 , -0.16
1.447 , -0.16 , -0.16
1.448 , -0.14 , -0.15
1.449 , -0.16 , -0.15
1.449 , -0.14 , -0.15
1.45 , -0.14 , -0.15
1.451 , -0.09 , -0.13
1.452 , -0.09 , -0.11
1.453 , -0.09 , -0.1
1.454 , -0.14 , -0.12
1.455 , -0.09 , -0.11
1.456 , -0.09 , -0.1
1.457 , -0.09 , -0.1
1.457 , -0.14 , -0.12
1.458 , -0.07 , -0.1
1.459 , -0.09 , -0.1
1.46 , -0.14 , -0.12
1.461 , -0.09 , -0.11
1.462 , -0.09 , -0.1
1.463 , -0.07 , -0.09
1.464 , -0.09 , -0.09
1.465 , -0.07 , -0.08
1.466 , -0.09 , -0.08
1.467 , -0.07 , -0.08
1.468 , -0.09 , -0.08
1.469 , -0.09 , -0.08
1.47 , -0.09 , -0.08
1.471 , -0.05 , -0.07
1.472 , -0.09 , -0.08
1.474 , -0.07 , -0.08
1.475 , -0.09 , -0.08
1.476 , -0.07 , -0.08
1.477 , -0.09 , -0.08
1.478 , -0.07 , -0.08
1.479 , -0.09 , -0.08
1.48 , -0.09 , -0.08
1.481 , -0.09 , -0.08
1.482 , -0.09 , -0.08
1.484 , -0.09 , -0.08
1.485 , -0.09 , -0.08
1.486 , -0.09 , -0.08
1.487 , -0.07 , -0.08
1.488 , -0.07 , -0.08
1.489 , -0.09 , -0.08
1.49 , -0.09 , -0.08
1.491 , -0.07 , -0.08
1.492 , -0.09 , -0.08
1.493 , -0.09 , -0.08
1.495 , -0.07 , -0.08
1.496 , -0.09 , -0.08
1.497 , -0.09 , -0.08
1.498 , -0.07 , -0.08
1.499 , -0.09 , -0.08
1.5 , -0.07 , -0.08
1.501 , -0.09 , -0.08
1.502 , -0.09 , -0.08
1.503 , -0.09 , -0.08
1.504 , -0.09 , -0.08
1.506 , -0.09 , -0.08
1.507 , -0.07 , -0.08
1.508 , -0.07 , -0.08
1.509 , -0.09 , -0.08
1.51 , -0.09 , -0.08
1.511 , -0.07 , -0.08
1.512 , -0.07 , -0.08
1.513 , -0.09 , -0.08
1.514 , -0.09 , -0.08
1.515 , -0.09 , -0.08
1.517 , -0.14 , -0.1
1.517 , -0.09 , -0.1
1.518 , -0.09 , -0.1
1.519 , -0.09 , -0.1
1.52 , -0.07 , -0.09
1.521 , -0.09 , -0.09
1.522 , -0.14 , -0.11
1.523 , -0.14 , -0.12
1.524 , -0.09 , -0.11
1.525 , -0.09 , -0.1
1.526 , -0.09 , -0.1
1.526 , -0.09 , -0.1
1.527 , -0.14 , -0.12
1.528 , -0.09 , -0.11
1.529 , -0.09 , -0.1
1.53 , -0.07 , -0.09
1.531 , -0.07 , -0.08
1.532 , -0.14 , -0.1
1.533 , -0.07 , -0.09
1.534 , -0.07 , -0.08
1.535 , -0.07 , -0.08
1.536 , -0.07 , -0.08
1.537 , -0.07 , -0.08
1.538 , -0.09 , -0.08
1.54 , -0.09 , -0.08
1.541 , -0.09 , -0.08
1.542 , -0.09 , -0.08
1.543 , -0.09 , -0.08
1.544 , -0.09 , -0.08
1.545 , -0.09 , -0.08
1.546 , -0.09 , -0.08
1.547 , -0.07 , -0.08
1.548 , -0.14 , -0.1
1.549 , -0.09 , -0.1
1.55 , -0.09 , -0.1
1.551 , -0.09 , -0.1
1.552 , -0.09 , -0.1
1.553 , -0.09 , -0.1
1.554 , -0.09 , -0.1
1.555 , -0.07 , -0.09
1.556 , -0.07 , -0.08
1.557 , -0.09 , -0.08
1.558 , -0.09 , -0.08
1.559 , -0.07 , -0.08
1.56 , -0.09 , -0.08
1.561 , -0.07 , -0.08
1.562 , -0.14 , -0.1
1.563 , -0.09 , -0.1
1.564 , -0.14 , -0.12
1.565 , -0.14 , -0.13
1.566 , -0.09 , -0.11
1.567 , -0.14 , -0.12
1.568 , -0.09 , -0.11
1.569 , -0.14 , -0.12
1.569 , -0.14 , -0.13
1.57 , -0.09 , -0.11
1.571 , -0.14 , -0.12
1.572 , -0.09 , -0.11
1.573 , -0.14 , -0.12
1.574 , -0.14 , -0.13
1.575 , -0.09 , -0.11
1.576 , -0.14 , -0.12
1.577 , -0.09 , -0.11
1.578 , -0.09 , -0.1
1.578 , -0.14 , -0.12
1.579 , -0.09 , -0.11
1.58 , -0.14 , -0.12
1.581 , -0.14 , -0.13
1.582 , -0.09 , -0.11
1.583 , -0.14 , -0.12
1.584 , -0.16 , -0.14
1.585 , -0.14 , -0.14
1.586 , -0.14 , -0.14
1.587 , -0.14 , -0.14
1.588 , -0.09 , -0.12
1.588 , -0.09 , -0.11
1.589 , -0.09 , -0.1
1.59 , -0.09 , -0.1
1.591 , -0.14 , -0.12
1.592 , -0.14 , -0.13
1.593 , -0.14 , -0.13
1.594 , -0.14 , -0.13
1.595 , -0.14 , -0.13
1.596 , -0.14 , -0.13
1.597 , -0.09 , -0.11
1.597 , -0.14 , -0.12
1.598 , -0.14 , -0.13
1.599 , -0.09 , -0.11
1.6 , -0.14 , -0.12
1.601 , -0.16 , -0.14
1.602 , -0.14 , -0.14
1.603 , -0.16 , -0.15
1.604 , -0.14 , -0.15
1.604 , -0.14 , -0.15
1.605 , -0.14 , -0.15
1.606 , -0.14 , -0.15
1.607 , -0.14 , -0.15
1.608 , -0.14 , -0.15
1.608 , -0.14 , -0.15
1.609 , -0.09 , -0.13
1.61 , -0.14 , -0.13
1.611 , -0.14 , -0.13
1.612 , -0.09 , -0.11
1.613 , -0.09 , -0.1
1.614 , -0.14 , -0.12
1.615 , -0.14 , -0.13
1.616 , -0.09 , -0.11
1.616 , -0.14 , -0.12
1.617 , -0.09 , -0.11
1.618 , -0.14 , -0.12
1.619 , -0.09 , -0.11
1.62 , -0.16 , -0.13
1.621 , -0.14 , -0.13
