t,Cuff Pressure,Baseline Pressure,Difference Pressure, Oscillometric Waveform
0.304 , 158.92 , 160.79 , 1.49 , 49.42
0.306 , 158.89 , 160.79 , 1.49 , 49.43
0.309 , 158.89 , 160.81 , 1.5 , 49.43001
0.312 , 158.94 , 160.75 , 1.51 , 49.43
0.314 , 158.85 , 160.75 , 1.52 , 49.42
0.317 , 158.85 , 160.79 , 1.51 , 49.44
0.32 , 158.85 , 160.79 , 1.5 , 49.46001
0.322 , 158.85 , 160.75 , 1.51 , 49.46
0.325 , 158.89 , 160.79 , 1.51 , 49.47
0.327 , 158.85 , 160.79 , 1.51 , 49.47
0.33 , 158.85 , 160.79 , 1.52 , 49.47001
0.333 , 158.82 , 160.79 , 1.53 , 49.47
0.336 , 158.85 , 160.79 , 1.52 , 49.48999
0.338 , 158.82 , 160.79 , 1.53 , 49.48
0.341 , 158.82 , 160.79 , 1.54 , 49.48
0.344 , 158.82 , 160.79 , 1.54 , 49.49
0.346 , 158.85 , 160.81 , 1.55 , 49.49001
0.349 , 158.85 , 160.79 , 1.55 , 49.5
0.352 , 158.82 , 160.79 , 1.56 , 49.5
0.355 , 158.78 , 160.79 , 1.57 , 49.50001
0.357 , 158.82 , 160.75 , 1.56 , 49.51001
0.36 , 158.78 , 160.75 , 1.57 , 49.51
0.363 , 158.82 , 160.75 , 1.57 , 49.52
0.365 , 158.82 , 160.75 , 1.58 , 49.52
0.368 , 158.78 , 160.81 , 1.58 , 49.52
0.37 , 158.73 , 160.79 , 1.58 , 49.53
0.373 , 158.78 , 160.79 , 1.58 , 49.53999
0.376 , 158.78 , 160.75 , 1.59 , 49.54
0.378 , 158.78 , 160.75 , 1.59 , 49.54
0.381 , 158.75 , 160.75 , 1.58 , 49.56
0.384 , 158.75 , 160.75 , 1.6 , 49.55001
0.386 , 158.78 , 160.79 , 1.6 , 49.56001
0.389 , 158.85 , 160.79 , 1.61 , 49.56
0.391 , 158.75 , 160.81 , 1.62 , 49.55
0.394 , 158.78 , 160.75 , 1.62 , 49.56001
0.397 , 158.75 , 160.75 , 1.63 , 49.56
0.399 , 158.78 , 160.72 , 1.63 , 49.57
0.402 , 158.75 , 160.75 , 1.62 , 49.59001
0.405 , 158.78 , 160.75 , 1.63 , 49.59
0.407 , 158.78 , 160.81 , 1.64 , 49.58
0.41 , 158.75 , 160.81 , 1.64 , 49.59
0.413 , 158.75 , 160.79 , 1.65 , 49.59
0.415 , 158.78 , 160.79 , 1.65 , 49.6
0.418 , 158.73 , 160.72 , 1.67 , 49.58
0.421 , 158.73 , 160.79 , 1.65 , 49.60999
0.423 , 158.69 , 160.75 , 1.66 , 49.61
0.426 , 158.75 , 160.79 , 1.66 , 49.62
0.429 , 158.75 , 160.81 , 1.68 , 49.61001
0.431 , 158.69 , 160.81 , 1.68 , 49.61001
0.434 , 158.73 , 160.79 , 1.67 , 49.63
0.437 , 158.69 , 160.79 , 1.7 , 49.61
0.439 , 158.75 , 160.81 , 1.68 , 49.64001
0.45 , 158.73 , 160.75 , 1.71 , 49.64001
0.452 , 158.62 , 160.79 , 1.72 , 49.64
0.455 , 158.69 , 160.79 , 1.7 , 49.66999
0.457 , 158.69 , 160.75 , 1.71 , 49.66
0.46 , 158.66 , 160.79 , 1.72 , 49.66
0.463 , 158.66 , 160.79 , 1.72 , 49.67
0.465 , 158.73 , 160.75 , 1.72 , 49.68001
0.468 , 158.69 , 160.75 , 1.74 , 49.66001
0.471 , 158.69 , 160.75 , 1.74 , 49.67
0.473 , 158.66 , 160.72 , 1.75 , 49.67
0.476 , 158.59 , 160.75 , 1.75 , 49.68001
0.478 , 158.62 , 160.72 , 1.74 , 49.69001
0.481 , 158.66 , 160.72 , 1.74 , 49.7
0.484 , 158.62 , 160.68 , 1.76 , 49.69
0.486 , 158.66 , 160.79 , 1.76 , 49.70001
0.489 , 158.62 , 160.75 , 1.77 , 49.7
0.492 , 158.59 , 160.72 , 1.78 , 49.7
0.494 , 158.55 , 160.72 , 1.78 , 49.7
0.497 , 158.55 , 160.75 , 1.77 , 49.72001
0.5 , 158.59 , 160.75 , 1.78 , 49.72
0.502 , 158.59 , 160.72 , 1.79 , 49.71999
